game_id,date_start,type,table,num,scoring_version,judge,winner_code,first_killed,best_player,our_player_count,our_players,table_players,source_url,error
601422,2026-07-12 10:49:36,match,7,13,3.0,YungBull,0,125488,Лисa,2,Story; Лиса,Зазеркалье; Hartmann; Лисa; Том; aveeeee; Story; Птичка 23; Вальхалла; отче; Defita,https://polemicagame.com/match/601422,
601423,2026-07-12 10:49:44,match,2,15,3.0,Leap,1,60797,Mr.Elvin,3,Ластхиро; Axeon; Лиса,Ллирик; Axeon; Sol invictus; Ластхиро; Лисa; Homych; Доктор_Ливси; Mr.Elvin; pevoon; Кирюшкинс,https://polemicagame.com/match/601423,
601424,2026-07-12 10:51:15,match,2,16,3.0,Leap,1,62118,Феодал,1,Story,Kaiser; Феодал; Зазеркалье; Story; Kilaaahhhh; Doc.; .Мышь.; Defita; Nevesta; Маэстро СПб,https://polemicagame.com/match/601424,
601445,2026-07-12 12:12:40,match,4,12,3.0,Кармин,1,72809,aveeeee,3,Ластхиро; ФДМ; Лиса,ФДМ; aveeeee; Лекc; смажьте мясо маслом; Генрих; Помидор; Country; Ластхиро; Лисa; отче,https://polemicagame.com/match/601445,
601486,2026-07-12 14:44:26,match,4,13,3.0,Кармин,0,51777,Оладуш,1,Д. Колбасенко,Маэстро СПб; Kilaaahhhh; StronGlav; Рэндом; Размен; Данил_Колбасенко; MIRS; Феодал; Оладуш; moonlight from spb,https://polemicagame.com/match/601486,
601516,2026-07-12 16:20:34,match,7,14,3.0,YungBull,1,99882,Axeon,5,Ластхиро; Алёна; Axeon; Д. Колбасенко; Elric,дьябло; Alena78; Ластхиро; Пряник_virtuspro_19; Маэстро СПб; moonlight from spb; Axeon; Чеба; Elric; Данил_Колбасенко,https://polemicagame.com/match/601516,
601519,2026-07-12 16:24:29,match,7,16,3.0,YungBull,1,15013,MadCat,1,Аномалия,Айра.; ВреднаЯ; Country; Anомалия; MadCat; Stereo; Hartmann; aveeeee; WELSH; WIMP,https://polemicagame.com/match/601519,
601554,2026-07-12 18:01:00,match,4,15,3.0,Кармин,1,4682,Сандра,1,Macarena,Размен; отче; KAA; .Мышь.; Сандра; Пиджак; Macarena; Django; Demi; 4p0k,https://polemicagame.com/match/601554,
601555,2026-07-12 18:04:15,match,4,16,3.0,Кармин,1,128567,Vibe,3,Секрет; Elric; Марипоса,Saint-P; комик; Секрет-; дьябло; Лекc; Elric; Rikso; Vibe; Марипоса; Инкогнито,https://polemicagame.com/match/601555,
601556,2026-07-12 18:15:06,match,8,13,3.0,Гуcь,1,3229,Помидор,3,Ластхиро; Axeon; Секрет,Ластхиро; Помидор; Кcю; ВреднаЯ; Axeon; Sol invictus; MadCat; Любезный; Секрет-; pevoon,https://polemicagame.com/match/601556,
